,Exp. No.,Salt,Concentration (mol/l),FP position,Gas flow (l/min),Date,PP Timestamp,FP Timestamp,Datetime,Comment,Ignore
204,204.0,NaAc,0.014,9.0,100.0,20250407,115238,115235,2025-04-07T11:52:35,,False
205,205.0,NaAc,0.029,1.0,100.0,20250407,120659,120657,2025-04-07T12:06:57,,False
206,206.0,NaAc,0.029,3.0,100.0,20250407,122420,122418,2025-04-07T12:24:18,,False
207,207.0,NaAc,0.029,5.0,100.0,20250407,132625,132622,2025-04-07T13:26:22,,False
208,208.0,NaAc,0.029,7.0,100.0,20250407,134106,134102,2025-04-07T13:41:02,,False
209,209.0,NaAc,0.029,9.0,100.0,20250407,135147,135144,2025-04-07T13:51:44,,False
210,210.0,NaAc,0.058,1.0,100.0,20250407,141005,141002,2025-04-07T14:10:02,,False
211,211.0,NaAc,0.058,3.0,100.0,20250407,142705,142700,2025-04-07T14:27:00,,False
212,212.0,NaAc,0.058,5.0,100.0,20250407,144020,144018,2025-04-07T14:40:18,,False
213,213.0,NaAc,0.058,7.0,100.0,20250407,145218,145215,2025-04-07T14:52:15,,False
214,214.0,NaAc,0.058,9.0,100.0,20250407,150257,150252,2025-04-07T15:02:52,,False
215,215.0,NaAc,0.12,1.0,100.0,20250407,152023,152021,2025-04-07T15:20:21,,False
216,216.0,NaAc,0.12,3.0,100.0,20250407,153444,153440,2025-04-07T15:34:40,,False
217,217.0,NaAc,0.12,5.0,100.0,20250407,154923,154921,2025-04-07T15:49:21,,False
218,218.0,NaAc,0.12,7.0,100.0,20250407,160056,160053,2025-04-07T16:00:53,,False
219,219.0,NaAc,0.12,9.0,100.0,20250407,161237,161235,2025-04-07T16:12:35,,False
220,220.0,NaAc,0.0,5.0,100.0,20250408,111421,102734,2025-04-08T10:27:34,"FP: Use PP 111421. Much later but still water..
PP: Contains addition of NaAc.",False
221,221.0,NaAc,0.24,1.0,100.0,20250408,112115,112106,2025-04-08T11:21:06,,False
222,222.0,NaAc,0.24,3.0,100.0,20250408,113508,113505,2025-04-08T11:35:05,,False
223,223.0,NaAc,0.24,5.0,100.0,20250408,114713,114710,2025-04-08T11:47:10,"FP: nan.
PP: Much too long",False
224,224.0,NaAc,0.24,7.0,100.0,20250408,115912,115905,2025-04-08T11:59:05,,False
225,225.0,NaAc,0.24,9.0,100.0,20250408,121329,121327,2025-04-08T12:13:27,,False
226,226.0,NaAc,0.49,1.0,100.0,20250408,122837,122833,2025-04-08T12:28:33,,False
227,227.0,NaAc,0.49,3.0,100.0,20250408,131134,131132,2025-04-08T13:11:32,,False
228,228.0,NaAc,0.49,5.0,100.0,20250408,132358,132355,2025-04-08T13:23:55,,False
229,229.0,NaAc,0.49,7.0,100.0,20250408,133453,133450,2025-04-08T13:34:50,,False
230,230.0,NaAc,0.49,9.0,100.0,20250408,134532,134529,2025-04-08T13:45:29,,False
231,231.0,NaAc,0.92,1.0,100.0,20250408,142146,142142,2025-04-08T14:21:42,,False
232,232.0,NaAc,0.92,3.0,100.0,20250408,143550,143548,2025-04-08T14:35:48,,False
233,233.0,NaAc,0.92,5.0,100.0,20250408,144836,144833,2025-04-08T14:48:33,,False
234,234.0,NaAc,0.92,7.0,100.0,20250408,150010,150007,2025-04-08T15:00:07,,False
235,235.0,NaAc,0.92,9.0,100.0,20250408,151025,151023,2025-04-08T15:10:23,,False
236,236.0,NH42SO4,0.0,1.0,100.0,20250409,92600,92540,2025-04-09T09:25:40,,False
237,237.0,NH42SO4,0.0,3.0,100.0,20250409,94541,94535,2025-04-09T09:45:35,,False
238,238.0,NH42SO4,0.0,5.0,100.0,20250409,95939,95937,2025-04-09T09:59:37,,False
239,239.0,NH42SO4,0.0,7.0,100.0,20250409,101201,101157,2025-04-09T10:11:57,,False
240,240.0,NH42SO4,0.0,9.0,100.0,20250409,102240,102238,2025-04-09T10:22:38,,False
241,241.0,NH42SO4,0.0004,1.0,100.0,20250409,103622,103619,2025-04-09T10:36:19,,False
242,242.0,NH42SO4,0.0004,3.0,100.0,20250409,105104,105054,2025-04-09T10:50:54,,False
243,243.0,NH42SO4,0.0004,5.0,100.0,20250409,110221,110218,2025-04-09T11:02:18,,False
244,244.0,NH42SO4,0.0004,7.0,100.0,20250409,111343,111341,2025-04-09T11:13:41,,False
245,245.0,NH42SO4,0.0004,9.0,100.0,20250409,112559,112557,2025-04-09T11:25:57,,False
246,246.0,NH42SO4,0.00077,1.0,100.0,20250409,114143,114140,2025-04-09T11:41:40,,False
247,247.0,NH42SO4,0.00077,3.0,100.0,20250409,115755,115752,2025-04-09T11:57:52,,False
248,248.0,NH42SO4,0.00077,5.0,100.0,20250409,121058,121056,2025-04-09T12:10:56,,False
249,249.0,NH42SO4,0.00077,7.0,100.0,20250409,122135,122130,2025-04-09T12:21:30,,False
250,250.0,NH42SO4,0.00077,9.0,100.0,20250409,123214,123211,2025-04-09T12:32:11,,False
251,251.0,NH42SO4,0.0015,1.0,100.0,20250409,132607,132602,2025-04-09T13:26:02,,False
252,252.0,NH42SO4,0.0015,3.0,100.0,20250409,134145,134142,2025-04-09T13:41:42,,False
